"filename", "language", "Markdown", "YAML", "C++", "Swift", "XML", "JSON", "Properties", "CMake", "Ruby", "HTML", "Gradle", "Dart", "comment", "blank", "total"
"d:\Aldhaf\hr_odoo\README.md", "Markdown", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 112
"d:\Aldhaf\hr_odoo\analysis_options.yaml", "YAML", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 31
"d:\Aldhaf\hr_odoo\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 13, 85
"d:\Aldhaf\hr_odoo\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"d:\Aldhaf\hr_odoo\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 6, 1, 49
"d:\Aldhaf\hr_odoo\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Aldhaf\hr_odoo\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Aldhaf\hr_odoo\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Aldhaf\hr_odoo\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 1, 22
"d:\Aldhaf\hr_odoo\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"d:\Aldhaf\hr_odoo\android\app\src\main\res\values-v31\styles.xml", "XML", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 7, 1, 22
"d:\Aldhaf\hr_odoo\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Aldhaf\hr_odoo\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"d:\Aldhaf\hr_odoo\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"d:\Aldhaf\hr_odoo\android\build\reports\problems\problems-report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 548, 0, 0, 2, 114, 664
"d:\Aldhaf\hr_odoo\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Aldhaf\hr_odoo\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Aldhaf\hr_odoo\assets\animations\loading.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Aldhaf\hr_odoo\config.json", "JSON", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\Aldhaf\hr_odoo\devtools_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Aldhaf\hr_odoo\firebase.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Aldhaf\hr_odoo\firestore.indexes.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Aldhaf\hr_odoo\ios\Flutter\AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"d:\Aldhaf\hr_odoo\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 10, 44
"d:\Aldhaf\hr_odoo\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Aldhaf\hr_odoo\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Aldhaf\hr_odoo\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Aldhaf\hr_odoo\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
