Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| HTML       |          2 |        646 |         18 |        132 |        796 |
| C++        |         11 |        458 |         94 |        144 |        696 |
| XML        |         17 |        296 |         48 |         16 |        360 |
| CMake      |          4 |        237 |          0 |         43 |        280 |
| JSON       |          8 |        219 |          0 |          4 |        223 |
| Markdown   |          3 |         90 |          0 |         28 |        118 |
| YAML       |          3 |         88 |         37 |         18 |        143 |
| Gradle     |          1 |         72 |          0 |         13 |         85 |
| Ruby       |          1 |         31 |          3 |         10 |         44 |
| Swift      |          2 |         19 |          2 |          6 |         27 |
| Properties |          2 |         12 |          0 |          1 |         13 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        195 |     14,941 |        987 |      1,679 |     17,607 |
| . (Files)                                                                                               |          7 |        192 |         37 |         43 |        272 |
| android                                                                                                 |         15 |        761 |         48 |        138 |        947 |
| android (Files)                                                                                         |          1 |          7 |          0 |          0 |          7 |
| android\app                                                                                             |         12 |        201 |         46 |         23 |        270 |
| android\app (Files)                                                                                     |          1 |         72 |          0 |         13 |         85 |
| android\app\src                                                                                         |         11 |        129 |         46 |         10 |        185 |
| android\app\src\debug                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                    |          9 |        123 |         38 |          8 |        169 |
| android\app\src\main (Files)                                                                            |          1 |         42 |          6 |          1 |         49 |
| android\app\src\main\res                                                                                |          8 |         81 |         32 |          7 |        120 |
| android\app\src\main\res\drawable                                                                       |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\drawable-v21                                                                   |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\mipmap-anydpi-v26                                                              |          1 |          5 |          0 |          1 |          6 |
| android\app\src\main\res\values                                                                         |          2 |         17 |          9 |          1 |         27 |
| android\app\src\main\res\values-night                                                                   |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                               |          1 |         14 |          7 |          1 |         22 |
| android\app\src\main\res\values-v31                                                                     |          1 |         14 |          7 |          1 |         22 |
| android\app\src\profile                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                           |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                                   |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                          |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                          |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                  |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| assets\animations                                                                                       |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                     |         14 |        387 |          7 |         28 |        422 |
| ios (Files)                                                                                             |          1 |         31 |          3 |         10 |         44 |
| ios\Flutter                                                                                             |          1 |         26 |          0 |          1 |         27 |
| ios\Runner                                                                                              |          9 |        307 |          2 |         11 |        320 |
| ios\Runner (Files)                                                                                      |          3 |         70 |          0 |          4 |         74 |
| ios\Runner.xcodeproj                                                                                    |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                   |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace                                                                                  |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcworkspace\xcshareddata                                                                     |          1 |          8 |          0 |          1 |          9 |
| ios\RunnerTests                                                                                         |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                              |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                           |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                    |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                         |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                   |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                     |        142 |     12,773 |        785 |      1,265 |     14,823 |
| lib (Files)                                                                                             |         13 |        423 |         81 |         57 |        561 |
| lib\config                                                                                              |          3 |         15 |          4 |          3 |         22 |
| lib\core                                                                                                |          1 |         14 |          7 |          3 |         24 |
| lib\model                                                                                               |          1 |         84 |          0 |         14 |         98 |
| lib\module                                                                                              |         61 |      5,670 |        458 |        553 |      6,681 |
| lib\module (Files)                                                                                      |          1 |          0 |          0 |          1 |          1 |
| lib\module\about_app                                                                                    |          3 |         72 |          1 |          8 |         81 |
| lib\module\about_app\bindings                                                                           |          1 |          8 |          0 |          2 |         10 |
| lib\module\about_app\controller                                                                         |          1 |         14 |          0 |          3 |         17 |
| lib\module\about_app\view                                                                               |          1 |         50 |          1 |          3 |         54 |
| lib\module\attendance_history_list                                                                      |          2 |        160 |          7 |         14 |        181 |
| lib\module\attendance_history_list\controller                                                           |          1 |         18 |          1 |          5 |         24 |
| lib\module\attendance_history_list\view                                                                 |          1 |        142 |          6 |          9 |        157 |
| lib\module\checkin_detail                                                                               |          5 |        310 |         15 |         43 |        368 |
| lib\module\checkin_detail\controller                                                                    |          1 |        110 |         10 |         18 |        138 |
| lib\module\checkin_detail\view                                                                          |          1 |        112 |          3 |          9 |        124 |
| lib\module\checkin_detail\widget                                                                        |          3 |         88 |          2 |         16 |        106 |
| lib\module\dashboard                                                                                    |         10 |      1,668 |        129 |        139 |      1,936 |
| lib\module\dashboard\controller                                                                         |          1 |        441 |         71 |         59 |        571 |
| lib\module\dashboard\model                                                                              |          1 |         11 |          0 |          2 |         13 |
| lib\module\dashboard\view                                                                               |          1 |        506 |         25 |         29 |        560 |
